###########\n####  @#  #\n#### #    #\n####  $#  #\n# $.  .## #\n#   ###  $#\n#   ###  .#\n###########
ID: 0, State: 4256D74B49CF95925EB4D8767D6A4554, Parent: None, Action: NOTHING, Depth:0, Cost: 0.00, Heuristic: 3.00, Value: 3.00, Type:EXPANDED
ID: 1, State: 77BDB7FA9A8D32FB97815975B7DC7AD1, Parent: 0, Action: d, Depth:1, Cost: 1.00, Heuristic: 3.00, Value: 4.00, Type:EXPANDED
ID: 4, State: 8E60FC1F13383F1FC957E4727DE23C9F, Parent: 1, Action: r, Depth:2, Cost: 2.00, Heuristic: 3.00, Value: 5.00, Type:EXPANDED
ID: 10, State: 2A6AC36AA899B2E5446EEAB80B602B32, Parent: 4, Action: r, Depth:3, Cost: 3.00, Heuristic: 3.00, Value: 6.00, Type:EXPANDED
ID: 21, State: 1FA78F175256804B0F44BB8179A7869D, Parent: 10, Action: r, Depth:4, Cost: 4.00, Heuristic: 3.00, Value: 7.00, Type:EXPANDED
ID: 38, State: C0BC014C85F491B8FF6ED1E4A1667D87, Parent: 21, Action: d, Depth:5, Cost: 5.00, Heuristic: 3.00, Value: 8.00, Type:EXPANDED
ID: 59, State: 588B7FC56CF31D87457D0418E78799F1, Parent: 38, Action: d, Depth:6, Cost: 6.00, Heuristic: 3.00, Value: 9.00, Type:EXPANDED
ID: 79, State: 03365DC3BAB9C72C8F3CD38F8A053803, Parent: 59, Action: D, Depth:7, Cost: 7.00, Heuristic: 2.00, Value: 9.00, Type:EXPANDED
ID: 94, State: 359BA3ABA57FAD8AA33A11F515E9AEB0, Parent: 79, Action: u, Depth:8, Cost: 8.00, Heuristic: 2.00, Value: 10.00, Type:EXPANDED
ID: 110, State: 8BCE2DF63D44ED4458EBF4A10F77D199, Parent: 94, Action: u, Depth:9, Cost: 9.00, Heuristic: 2.00, Value: 11.00, Type:EXPANDED
ID: 137, State: 77B4E2F1FFFF41081FE380E7FE1B3B0E, Parent: 110, Action: u, Depth:10, Cost: 10.00, Heuristic: 2.00, Value: 12.00, Type:EXPANDED
ID: 182, State: 9580DFA4D8835D0B21AFBA2E2BBD740B, Parent: 137, Action: l, Depth:11, Cost: 11.00, Heuristic: 2.00, Value: 13.00, Type:EXPANDED
ID: 231, State: 8140222CD1FA2703C71DCC944DDC707B, Parent: 182, Action: l, Depth:12, Cost: 12.00, Heuristic: 2.00, Value: 14.00, Type:EXPANDED
ID: 277, State: F44A6A2305C7C8D48021E85116315203, Parent: 231, Action: l, Depth:13, Cost: 13.00, Heuristic: 2.00, Value: 15.00, Type:EXPANDED
ID: 331, State: B7605D0C330846C39203A8E6C55B0CDA, Parent: 277, Action: D, Depth:14, Cost: 14.00, Heuristic: 1.00, Value: 15.00, Type:EXPANDED
ID: 349, State: 0756822CD900FEA7730F106C0E4A02D2, Parent: 331, Action: l, Depth:15, Cost: 15.00, Heuristic: 1.00, Value: 16.00, Type:EXPANDED
ID: 404, State: 5547ABDF711DF5B5778428632159C2A3, Parent: 349, Action: d, Depth:16, Cost: 16.00, Heuristic: 1.00, Value: 17.00, Type:EXPANDED
ID: 470, State: 54E100912734671ACB05E19A09E1D8C2, Parent: 404, Action: l, Depth:17, Cost: 17.00, Heuristic: 1.00, Value: 18.00, Type:EXPANDED
ID: 544, State: B5D0DC47F4D6211647CA886709522113, Parent: 470, Action: l, Depth:18, Cost: 18.00, Heuristic: 1.00, Value: 19.00, Type:EXPANDED
ID: 619, State: 063127A0AD8E9B199FF19604466DE5EF, Parent: 544, Action: d, Depth:19, Cost: 19.00, Heuristic: 1.00, Value: 20.00, Type:EXPANDED
ID: 683, State: A426A3A870169BDD7D6F7897184129EA, Parent: 619, Action: l, Depth:20, Cost: 20.00, Heuristic: 1.00, Value: 21.00, Type:EXPANDED
ID: 749, State: D2ECDC44887ABEFE45CBFB0BBEDD8755, Parent: 683, Action: l, Depth:21, Cost: 21.00, Heuristic: 1.00, Value: 22.00, Type:EXPANDED
ID: 837, State: 38274571BB37CB7DB21FE1ECA71BCDF5, Parent: 749, Action: u, Depth:22, Cost: 22.00, Heuristic: 1.00, Value: 23.00, Type:EXPANDED
ID: 927, State: 97F868AE7C23DAD9E4580FF88F3D4EBE, Parent: 837, Action: R, Depth:23, Cost: 23.00, Heuristic: 0.00, Value: 23.00, Type:TARGET

###########\n####  @#  #\n#### #    #\n####  $#  #\n# $.  .## #\n#   ###  $#\n#   ###  .#\n###########
ID: 0, State: 4256D74B49CF95925EB4D8767D6A4554, Parent: None, Action: NOTHING, Depth:0, Cost: 0.00, Heuristic: 3.00, Value: 3.00, Type:EXPANDED
ID: 1, State: 77BDB7FA9A8D32FB97815975B7DC7AD1, Parent: 0, Action: d, Depth:1, Cost: 1.00, Heuristic: 3.00, Value: 3.00, Type:EXPANDED
ID: 5, State: 5DEB150CBBC5A7BC37B5BCD4AE548131, Parent: 1, Action: D, Depth:2, Cost: 2.00, Heuristic: 2.00, Value: 2.00, Type:EXPANDED
ID: 6, State: 93A73EE35A8403C3A9D96927C69232A4, Parent: 5, Action: u, Depth:3, Cost: 3.00, Heuristic: 2.00, Value: 2.00, Type:EXPANDED
ID: 9, State: 1B71DAEA749BDAE2D59D580801B78B79, Parent: 6, Action: r, Depth:4, Cost: 4.00, Heuristic: 2.00, Value: 2.00, Type:EXPANDED
ID: 16, State: 0354C50FC28B19422081BC161495ABE8, Parent: 9, Action: r, Depth:5, Cost: 5.00, Heuristic: 2.00, Value: 2.00, Type:EXPANDED
ID: 26, State: CF32651C1D49A77805D085D413249DAC, Parent: 16, Action: r, Depth:6, Cost: 6.00, Heuristic: 2.00, Value: 2.00, Type:EXPANDED
